time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-04-10T20:21:18.360Z,18.0413,-66.724,15,3.08,md,18,98,0.1178,0.18,pr,pr2020101031,2020-04-10T21:04:38.252Z,"1km S of Penuelas, Puerto Rico",earthquake,0.29,0.53,0.23,13,reviewed,pr,pr
2020-04-10T19:44:14.310Z,19.2123,-67.3721,47,3.68,md,21,213,0.7892,0.57,pr,pr2020101030,2020-04-10T21:03:29.040Z,"84km NNW of San Antonio, Puerto Rico",earthquake,2.66,9.04,0.14,13,reviewed,pr,pr
2020-04-10T18:50:56.380Z,18.0108,-66.8485,16,2.59,md,21,120,0.0471,0.2,pr,pr2020101029,2020-04-10T19:32:24.808Z,"2km S of Yauco, Puerto Rico",earthquake,0.43,0.79,0.32,14,reviewed,pr,pr
2020-04-10T18:45:49.519Z,5.6425,126.5887,76.92,5.1,mww,,126,1.737,0.75,us,us70008tex,2020-04-10T20:52:24.040Z,"91km SSE of Pondaguitan, Philippines",earthquake,8.8,9.1,0.08,15,reviewed,us,us
2020-04-10T18:40:13.800Z,17.9076,-66.7571,6,2.51,md,8,237,0.1395,0.21,pr,pr2020101028,2020-04-10T18:50:35.207Z,"10km SSW of Tallaboa, Puerto Rico",earthquake,1.09,0.54,0.21,8,reviewed,pr,pr
2020-04-10T18:03:12.230Z,36.2483333,-89.4013333,5.78,2.73,md,55,61,0.02377,0.18,nm,nm60286767,2020-04-10T20:30:21.040Z,"6km ESE of Ridgely, Tennessee",earthquake,0.24,0.48,0.121,38,reviewed,nm,nm
2020-04-10T17:54:22.240Z,17.9496,-66.6871,6,2.7,md,19,186,0.1234,0.14,pr,pr2020101027,2020-04-10T18:32:46.927Z,"5km SSE of Tallaboa, Puerto Rico",earthquake,0.4,0.22,0.19,12,reviewed,pr,pr
2020-04-10T17:08:34.220Z,17.9215,-66.8273,6,2.86,md,7,224,0.0746,0.26,pr,pr2020101026,2020-04-10T17:35:27.788Z,"8km S of Indios, Puerto Rico",earthquake,1.24,0.62,0.14,5,reviewed,pr,pr
2020-04-10T17:05:36.236Z,44.2749,-115.1247,7.41,2.5,ml,,67,0.277,0.96,us,us70008tdp,2020-04-10T19:51:07.040Z,"75km WSW of Challis, Idaho",earthquake,1.6,5.7,0.05,52,reviewed,us,us
2020-04-10T16:54:39.910Z,17.9518,-66.7128,7,2.59,md,16,186,0.1401,0.17,pr,pr2020101025,2020-04-10T17:11:46.460Z,"4km S of Tallaboa, Puerto Rico",earthquake,0.47,0.25,0.36,9,reviewed,pr,pr
2020-04-10T16:44:55.531Z,20.4267,122.1198,148.74,5.9,mww,,25,2.568,1.41,us,us70008tc8,2020-04-10T20:22:46.040Z,"15km E of Basco, Philippines",earthquake,5,5.5,0.053,34,reviewed,us,us
2020-04-10T16:38:06.874Z,-58.0753,-25.7163,69.39,5,mb,,89,7.11,0.85,us,us70008tc7,2020-04-10T16:57:07.040Z,"116km NNE of Bristol Island, South Sandwich Islands",earthquake,7.5,8.7,0.079,52,reviewed,us,us
2020-04-10T16:33:49.205Z,44.5341,-115.2309,10,3.3,ml,,65,0.446,1.09,us,us70008tc5,2020-04-10T20:17:50.534Z,"64km E of Cascade, Idaho",earthquake,1.4,2,0.046,63,reviewed,us,us
2020-04-10T15:53:50.430Z,44.273,-115.079,10,2.5,ml,,90,0.857,0.56,us,us70008tay,2020-04-10T16:02:07.040Z,"72km WSW of Challis, Idaho",earthquake,4.3,2,0.067,29,reviewed,us,us
2020-04-10T15:35:59.630Z,17.955,-66.9851,9,2.58,md,21,196,0.0609,0.13,pr,pr2020101024,2020-04-10T16:19:56.514Z,"6km ESE of La Parguera, Puerto Rico",earthquake,0.36,0.6,0.31,12,reviewed,pr,pr
2020-04-10T15:02:01.500Z,33.5,-116.5238333,10.49,2.54,ml,106,26,0.05766,0.18,ci,ci39380792,2020-04-10T20:15:41.040Z,"15km ESE of Anza, CA",earthquake,0.1,0.18,0.174,119,reviewed,ci,ci
2020-04-10T14:46:09.564Z,-23.1448,171.8073,47.82,4.6,mb,,125,4.639,1.24,us,us70008t9n,2020-04-10T15:13:01.040Z,"86km SSW of Ile Hunter, New Caledonia",earthquake,12.1,8.9,0.151,13,reviewed,us,us
2020-04-10T14:41:35.340Z,17.8181,-66.9351,4,2.54,md,17,240,0.1667,0.29,pr,pr2020101021,2020-04-10T15:25:49.832Z,"17km S of Guanica, Puerto Rico",earthquake,0.8,0.65,0.15,12,reviewed,pr,pr
2020-04-10T14:27:48.960Z,17.8348,-66.8843,5,2.97,md,20,230,0.1404,0.21,pr,pr2020101019,2020-04-10T14:57:26.631Z,"15km S of Guanica, Puerto Rico",earthquake,0.61,0.4,0.24,15,reviewed,pr,pr
2020-04-10T14:18:54.610Z,18.0333,-66.7881,14,2.81,md,19,98,0.1081,0.18,pr,pr2020101018,2020-04-10T14:56:49.735Z,"1km NNE of Guayanilla, Puerto Rico",earthquake,0.33,0.53,0.35,18,reviewed,pr,pr
2020-04-10T13:51:16.946Z,36.0209,70.0004,125.98,4.1,mb,,88,1.671,1.04,us,us70008t8i,2020-04-10T14:10:59.040Z,"62km SSE of Farkhar, Afghanistan",earthquake,9.5,13,0.261,4,reviewed,us,us
